10.25,55,0.46722,417.78,0.42576,8.5321,0.14849,0.14679
10.5,55,0.44974,429.83,0.42508,8.6576,0.14983,0.13424
10.5,55.25,0.46126,429.12,0.42627,8.6128,0.14746,0.13872
10.5,55.5,0.47274,428.42,0.42745,8.5687,0.14511,0.14313
10.5,55.75,0.48419,427.74,0.4286,8.5253,0.14281,0.14747
10.75,55.25,0.44463,441.19,0.42564,8.7373,0.14872,0.12627
10.75,55.5,0.45616,440.45,0.42683,8.692,0.14634,0.1308
10.75,55.75,0.46766,439.73,0.42799,8.6475,0.14402,0.13525
10.75,56,0.47913,439.02,0.42914,8.6037,0.14171,0.13963
10.75,56.25,0.49055,438.32,0.43029,8.5605,0.13943,0.14395
10.75,56.5,0.50194,437.63,0.43142,8.518,0.13717,0.1482
11,55.25,0.42873,453.29,0.42503,8.8619,0.14994,0.11381
11,55.5,0.44032,452.52,0.42623,8.8155,0.14753,0.11845
11,55.75,0.45187,451.77,0.42741,8.7699,0.14518,0.12301
11,56,0.46339,451.02,0.42858,8.725,0.14284,0.1275
11,56.25,0.47487,450.29,0.42973,8.6808,0.14053,0.13192
11,56.5,0.48631,449.57,0.43088,8.6372,0.13824,0.13628
11,56.75,0.49771,448.86,0.43202,8.5944,0.13597,0.14056
11,57,0.50908,448.16,0.43314,8.5522,0.13373,0.14478
11,57.25,0.52041,447.47,0.43423,8.5106,0.13153,0.14894
11.25,55.5,0.42517,464.63,0.42566,8.9391,0.14868,0.10609
11.25,55.75,0.43677,463.84,0.42685,8.8924,0.14629,0.11076
11.25,56,0.44834,463.06,0.42804,8.8464,0.14393,0.11536
11.25,56.25,0.45986,462.29,0.42921,8.8011,0.14159,0.11989
11.25,56.5,0.47135,461.54,0.43037,8.7565,0.13927,0.12435
11.25,56.75,0.4828,460.8,0.43151,8.7127,0.13697,0.12873
11.25,57,0.49422,460.06,0.43264,8.6695,0.13471,0.13305
11.25,57.25,0.50559,459.34,0.43376,8.6269,0.13249,0.13731
11.25,57.5,0.51694,458.63,0.43486,8.585,0.13029,0.1415
11.25,57.75,0.52825,457.93,0.43595,8.5438,0.1281,0.14562
11.25,58,0.53952,457.25,0.43703,8.5031,0.12594,0.14969
11.5,55.5,0.41066,476.76,0.42511,9.0628,0.14978,0.093722
11.5,55.75,0.42231,475.94,0.42632,9.0149,0.14737,0.098507
11.5,56,0.43392,475.13,0.42751,8.9679,0.14497,0.10321
11.5,56.25,0.4455,474.33,0.4287,8.9215,0.14261,0.10785
11.5,56.5,0.45703,473.54,0.42987,8.8759,0.14026,0.11241
11.5,56.75,0.46853,472.77,0.43103,8.831,0.13794,0.1169
11.5,57,0.47999,472.01,0.43217,8.7869,0.13566,0.12131
11.5,57.25,0.49142,471.25,0.4333,8.7433,0.13341,0.12567
11.5,57.5,0.5028,470.51,0.43441,8.7005,0.13118,0.12995
